Date,FADU (440110.KQ),SK hynix (000660.KS),Samsung Elec (005930.KS)
2024-07-02,99.26108374384236,155.0802139037433,111.5961800818554
2024-07-03,102.46305418719213,157.75401069518716,111.5961800818554
2024-07-04,103.44827586206897,153.7433155080214,115.41609822646657
2024-07-05,99.26108374384236,157.75401069518716,118.82673942701227
2024-07-08,102.95566502463053,156.08288770053477,119.23601637107777
2024-07-09,100.98522167487684,159.42513368983958,119.78171896316508
2024-07-10,99.50738916256158,159.75935828877004,119.78171896316508
2024-07-11,96.69950738916256,161.09625668449198,119.50886766712141
2024-07-12,93.10344827586206,155.74866310160428,115.14324693042293
2024-07-15,91.47783251231527,153.7433155080214,118.28103683492498
2024-07-16,93.49753694581281,155.74866310160428,119.64529331514325
2024-07-17,90.64039408866995,147.39304812834223,118.28103683492498
2024-07-18,89.4088669950739,142.04545454545453,118.55388813096863
