Date,FADU_440110.KQ,MRVL
2024-08-22,68.32512315270935,105.56580980262227
2024-08-23,66.60098522167488,110.45509736568881
2024-08-26,64.8768472906404,105.8118061594222
2024-08-27,65.17241379310344,107.18019388562219
2024-08-28,67.73399014778325,105.22755454800001
2024-08-29,67.58620689655173,107.38006665866659
2024-08-30,69.55665024630542,117.22016726719995
2024-09-03,68.42364532019704,107.65681989151103
2024-09-04,66.00985221674877,108.96371732624448
2024-09-05,64.23645320197045,107.45694711846664
2024-09-06,59.75369458128079,101.78351171031106
2024-09-09,64.1871921182266,105.98093378673332
2024-09-10,69.80295566502464,110.0860969653333
2024-09-11,74.48275862068967,115.14452388602218
2024-09-12,83.34975369458128,114.23739545800002
2024-09-13,81.13300492610837,114.51414869084448
2024-09-19,80.04926108374384,115.12914544799995
2024-09-20,78.66995073891626,113.5762633867778
