Date,KOSDAQ150_PROXY_229200.KS,FADU_440110.KQ
2024-08-16,97.1051667277391,69.75369458128078
2024-08-19,95.38292414803958,68.3743842364532
2024-08-20,96.40894100403078,70.6896551724138
2024-08-21,95.01648955661415,70.49261083743842
2024-08-22,94.50348112861853,68.32512315270935
2024-08-23,95.08977647489924,66.60098522167488
2024-08-26,94.17368999633565,64.8768472906404
2024-08-28,93.55075119091242,67.73399014778325
2024-08-29,92.89116892634665,67.58620689655173
2024-08-30,94.57676804690362,69.55665024630542
2024-09-02,95.08977647489924,69.80295566502464
2024-09-03,93.40417735434225,68.42364532019704
2024-09-04,89.55661414437522,66.00985221674877
2024-09-05,89.08024917552217,64.23645320197045
2024-09-06,86.25870282154635,59.75369458128079
2024-09-09,87.46793697325027,64.1871921182266
2024-09-10,85.92891168926346,69.80295566502464
