Date,삼성전자,SK하이닉스,파두
2024-07-03,111.5961800818554,157.75401069518716,102.46305418719213
2024-07-04,115.41609822646657,153.7433155080214,103.44827586206897
2024-07-05,118.82673942701227,157.75401069518716,99.26108374384236
2024-07-08,119.23601637107777,156.08288770053477,102.95566502463053
2024-07-09,119.78171896316508,159.42513368983958,100.98522167487684
2024-07-10,119.78171896316508,159.75935828877004,99.50738916256158
2024-07-11,119.50886766712141,161.09625668449198,96.69950738916256
2024-07-12,115.14324693042293,155.74866310160428,93.10344827586206
2024-07-15,118.28103683492498,153.7433155080214,91.47783251231527
2024-07-16,119.64529331514325,155.74866310160428,93.49753694581281
2024-07-17,118.28103683492498,147.39304812834223,90.64039408866995
2024-07-18,118.55388813096863,142.04545454545453,89.4088669950739
2024-07-19,115.14324693042293,140.04010695187165,88.22660098522167
2024-07-22,113.23328785811732,137.03208556149733,91.13300492610837
2024-07-23,114.4611186903138,137.03208556149733,90.0
2024-07-24,111.86903137789905,139.3716577540107,91.37931034482759
2024-07-25,109.68622100954978,127.00534759358288,87.4384236453202
2024-07-26,110.36834924965892,128.2085561497326,85.4679802955665
2024-07-29,110.77762619372442,130.74866310160428,84.72906403940887
2024-07-30,110.50477489768076,126.27005347593582,84.72906403940887
2024-07-31,114.4611186903138,130.0802139037433,86.50246305418719
2024-08-01,113.36971350613916,129.21122994652404,86.50246305418719
2024-08-02,108.59481582537518,115.77540106951871,81.9704433497537
2024-08-05,97.40791268758527,104.34491978609626,69.11330049261085
2024-08-06,98.90859481582538,109.42513368983957,74.92610837438424
2024-08-07,101.9099590723056,113.16844919786095,69.45812807881774
2024-08-08,100.13642564802183,109.22459893048129,65.27093596059113
2024-08-09,101.9099590723056,114.6390374331551,68.12807881773399
2024-08-12,103.00136425648022,118.31550802139037,70.64039408866995
2024-08-13,103.81991814461118,121.59090909090908,68.91625615763547
2024-08-14,105.32060027285131,124.79946524064172,70.93596059113301
2024-08-16,109.41336971350614,133.48930481283423,69.75369458128078
2024-08-19,106.82128240109141,129.61229946524065,68.3743842364532
2024-08-20,107.63983628922237,133.48930481283423,70.6896551724138
2024-08-21,106.82128240109141,128.7433155080214,70.49261083743842
2024-08-22,106.82128240109141,127.74064171122994,68.32512315270935
2024-08-23,106.00272851296045,123.99732620320856,66.60098522167488
2024-08-26,103.81991814461118,120.05347593582887,64.8768472906404
2024-08-27,103.41064120054571,116.97860962566844,65.17241379310344
2024-08-28,104.22919508867668,119.85294117647058,67.73399014778325
2024-08-29,100.9549795361528,113.43582887700533,67.58620689655173
